apple,omena  
book,kirja  
car,auto  
dog,koira  
cat,kissa  
house,talo  
tree,puu  
water,vesi  
sun,aurinko  
moon,kuu  
star,tähti  
sky,taivas  
flower,kukka  
grass,ruoho  
bird,lintu  
fish,kala  
table,pöytä  
chair,tuoli  
door,ovi  
window,ikkuna  
pen,kynä  
paper,paperi  
phone,puhelin  
computer,tietokone  
music,musiikki  
song,laulu  
movie,elokuva  
game,peli  
school,koulu  
student,oppilas  
teacher,opettaja  
friend,ystävä  
family,perhe  
mother,äiti  
father,isä  
sister,sisko  
brother,veli  
child,lapsi  
baby,vauva  
food,ruoka  
bread,leipä  
milk,maito  
cheese,juusto  
meat,liha  
vegetable,kasvis  
fruit,hedelmä  
sugar,sokeri  
salt,suola  
pepper,pippuri  
coffee,kahvi  
tea,tee  
breakfast,aamiainen  
lunch,lounas  
dinner,illallinen  
evening,ilta  
morning,aamu  
night,yö  
day,päivä  
week,viikko  
month,kuukausi  
year,vuosi  
today,tänään  
tomorrow,huomenna  
yesterday,eilen  
time,aika  
clock,kello  
minute,minuutti  
second,sekunti  
fast,nopea  
slow,hidas  
hot,kuuma  
cold,kylmä  
warm,lämmin  
cool,viileä  
big,iso  
small,pieni  
long,pitkä  
short,lyhyt  
high,korkea  
low,matala  
happy,onnellinen  
sad,surullinen  
angry,vihainen  
tired,väsynyt  
strong,vahva  
weak,heikko  
new,uusi  
old,vanha  
good,hyvä  
bad,huono  
beautiful,kaunis  
ugly,ruma  
clean,puhtas  
dirty,likainen  
open,auki  
closed,kiinni  
hard,kova  
soft,pehmeä  
light,valo  
dark,pimeä  
love,rakkaus  
peace,rauha  
war,sota  
life,elämä  
death,kuolema  
animal,eläin  
insect,hyönteinen  
cow,lehmä  
pig,sika  
horse,hevonen  
sheep,lammas  
goat,vuohi  
chicken,kan  
duck,ankka  
goose,hanhi  
lion,leijona  
tiger,tiikeri  
bear,karhu  
wolf,susi  
fox,kettu  
rabbit,jänis  
mouse,hiiri  
rat,rotta  
monkey,apina  
elephant,elefantti  
giraffe,kirahvi  
zebra,seeprat  
snake,käärme  
lizard,lisko  
frog,sammakko  
turtle,kilpikonna  
whale,valas  
dolphin,delffiini  
shark,hai  
octopus,mustekala  
crab,rapu  
spider,hämähäkki  
ant,muurahainen  
bee,mehiläinen  
butterfly,perhonen  
fly,kärpänen  
mosquito,hyttynen  
leg,jalka  
arm,käsi  
hand,käsi  
foot,jalka  
head,pää  
face,kasvot  
eye,silmä  
ear,korva  
nose,nenä  
mouth,suu  
tooth,hammas  
tongue,kieli  
neck,kaula  
shoulder,olkapää  
back,selkä  
stomach,vatsa  
heart,sydän  
brain,aivot  
skin,iho  
hair,hiukset  
finger,sormi  
toe,varvas  
knee,polvi  
elbow,kyynärpää  
hip,lantio  
throat,kurkku  
chest,rinta  
blood,veri  
bone,luu  
name,nimi  
city,kaupunki  
village,kylä  
country,maa  
world,maailma  
earth,maa  
map,kartta  
road,tie  
street,katu  
bridge,silta  
river,joki  
lake,järvi  
sea,meri  
ocean,valtameri  
island,saari  
mountain,vuori  
hill,kukkula  
valley,laakso  
forest,metsä  
tree,puu  
plant,kasvi  
leaf,lehti  
root,juuri  
branch,oksa  
flower,kukka  
grass,ruoho  
stone,kivi  
rock,kallio  
sand,hiekka  
soil,maa  
mud,mutaa  
snow,lumi  
ice,jää  
rain,sade  
cloud,pilvi  
storm,myrsky  
wind,tuuli  
lightning,salama  
thunder,ukkonen  
fire,tuli  
smoke,savu  
ash,tuhka  
dust,pöly  
air,ilma  
space,avaruus  
star,tähti  
planet,planeetta  
sky,taivas  
color,vär  
red,punainen  
blue,sininen  
yellow,keltainen  
green,vihreä  
orange,oranssi  
purple,violetti  
brown,ruskea  
black,musta  
white,valkoinen  
gray,harmaa  
pink,vaaleanpunainen  
gold,kulta  
silver,hopea  
money,raha  
coin,kolikko  
bill,seteli  
price,hinta  
cost,hinta  
shop,kauppa  
store,liike  
market,tori  
bank,pankki  
credit,luotto  
cash,käteinen  
wallet,lompakko  
bag,laukku  
box,laatikko  
key,avain  
lock,lukko  
door,ovi  
window,ikkuna  
wall,seinä  
roof,katto  
floor,lattia  
ceiling,katto  
room,huone  
kitchen,keittiö  
bathroom,kylpyhuone  
bedroom,makuuhuone  
living room,olohuone  
